time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.00599856890737,0.0299909339084,10.0434705123,0.000308752147738,0.000134263173983,0.0,0.099928960846,0.499729981105,0.848865482062,0.00500410523894,-0.00538937611642,0.0,483.2192297797578,482.8128849341616,481.25554589679456,481.6340734920426
0.12000000000000001,0.0119761555727,0.0599729802933,10.0989923283,0.000622539823992,0.00405933332492,0.0,0.0989163559259,0.499709309904,1.0017395108,0.00205347930258,0.0160215502203,0.0,454.31420841477154,456.027453372801,453.173051240588,452.9357682270372
0.18,0.0178166587686,0.0899824879101,10.1631588248,0.00687720852699,0.00564184575999,0.0,0.0956060524161,0.501251365584,1.13701378196,0.0280051844313,0.0235385142263,0.0,448.5330743731363,449.1430068657167,448.06364726823824,450.16820654214234
0.23999999999999996,0.0234171063496,0.120211675159,10.2345953994,0.0124839135347,0.00991057197031,0.0,0.090615943743,0.5069443883,1.24408411486,0.0485445510448,0.0037855705171,0.0,441.3389156884013,439.70567962751375,439.5502945231929,441.24954271883144
0.3,0.0286365558033,0.150905802632,10.3126904924,0.0188596627822,0.011684939687,0.0,0.0831668297375,0.516835863178,1.35894066732,0.0677650520123,-0.0110931126984,0.0,444.86105737349226,443.64121115143996,441.3204015696998,442.905935632462
0.36000000000000004,0.0332879838706,0.182357675004,10.3995620239,0.0229848292031,0.0287116205811,0.0,0.0700019390872,0.532026602895,1.53651132219,0.0636401804704,0.0337993361521,0.0,461.0259460090534,464.5591155415053,462.8975146369314,462.5759260228403
0.4200000000000001,0.0368431385755,0.214787921487,10.4957446108,0.0280040409112,0.0346458523671,0.0,0.0478967540179,0.549526085901,1.6693530835,0.0503759643333,0.0542830570407,0.0,448.3578313630699,450.01968372252645,450.75913819237655,449.6884714639934
0.48000000000000015,0.0390071833735,0.248361272539,10.5980339843,0.0443598023372,0.0412734221363,0.0,0.0236135063271,0.571143164357,1.74009904152,0.0891933947295,0.0732299344134,0.0,429.903944009958,431.5090176982345,428.8276276443484,432.115329433478
0.5400000000000001,0.0394293041901,0.283758208451,10.7082402385,0.0673160845323,0.0470773142543,0.0,-0.0101871282845,0.611346239554,1.93294881193,0.133971007153,0.0850928685053,0.0,467.63353440265035,468.56103285027285,467.9961977949314,471.47728317157276
0.6000000000000002,0.0378680933016,0.321775593025,10.8260931713,0.0753474191007,0.0548518898905,0.0,-0.0425822707037,0.65665901283,1.99527008052,0.133551799815,0.101828896142,0.0,428.5604549816594,429.98777832052315,429.49792386227824,429.47955885580626
0.6600000000000003,0.0342162394196,0.362663328619,10.9476197442,0.0833490110741,0.0615057263463,0.0,-0.0797890404955,0.707017454474,2.05539406725,0.132105599227,0.0924591878826,0.0,429.23366713455835,428.44658638223746,429.5091855506587,429.40350044076854
0.7200000000000003,0.0279466895627,0.407060386583,11.076645051,0.0915748711572,0.0706365672986,0.0,-0.130204963072,0.773795713699,2.24491903193,0.124790432277,0.112029598925,0.0,469.0270417607802,470.552297388766,470.3767247993821,469.8243200622467
0.7800000000000004,0.0188908938729,0.455080859674,11.210875302,0.0998559026741,0.0773657859768,0.0,-0.172231122534,0.827587676976,2.2293201339,0.113757318504,0.109300849779,0.0,405.0363139326861,404.8030982655799,406.36059126599395,405.3851852134003
0.8400000000000004,0.00695246721206,0.506808210716,11.3472362315,0.11545308674,0.0840807407366,0.0,-0.226379884073,0.898152108773,2.31561391948,0.145022652291,0.103597923767,0.0,439.3225282392453,438.8597214298442,438.74415404420193,441.3464513514137
0.9000000000000005,-0.00861316570323,0.563350007015,11.4908889382,0.13364629156,0.103399873801,0.0,-0.294632834642,0.988469308057,2.47197954108,0.177592354314,0.0627258099574,0.0,464.2651381450011,461.0537897462731,461.09240095375384,463.68020061981775
0.9600000000000005,-0.0288446437433,0.625938492286,11.6456437546,0.146304973758,0.109727724619,0.0,-0.38047210969,1.09923709284,2.6856600376,0.16084066542,0.043942624234,0.0,481.24172598518703,479.81983644837976,482.7405100614761,481.50075885374946
1.0200000000000005,-0.0538106994073,0.694715800023,11.8081861949,0.155945527323,0.113981296892,0.0,-0.452103177821,1.19419644808,2.73205993049,0.160145768424,0.0567238554808,0.0,430.4970103156014,431.57866422087926,431.15419272140866,431.12087304237417
1.0800000000000005,-0.0830855207028,0.769278995778,11.9728331721,0.168655003945,0.118751217203,0.0,-0.524161076787,1.29236683148,2.75578975307,0.139617830611,0.042662009272,0.0,424.64996657824616,423.44391038354354,425.68672133880125,423.94989533902293
1.1400000000000006,-0.116937744706,0.850189292745,12.1402695797,0.177802967246,0.121583205553,0.0,-0.604505015868,1.4054499376,2.82497188644,0.148109638091,0.0356211918607,0.0,440.4196042985764,439.83773248807097,439.94129172413284,440.66296526469
1.2000000000000006,-0.155393902409,0.937663192328,12.3096397862,0.18679095572,0.123718093069,0.0,-0.677552410248,1.51107507801,2.82045815509,0.150598035854,0.033346608335,0.0,417.07240099880875,416.874293084856,416.24907212332124,416.4892530456232
1.2600000000000007,-0.199082544907,1.03284650342,12.4850881549,0.196807113306,0.125848082462,0.0,-0.778907796337,1.66270148702,3.02688248915,0.160309184055,0.0362626963456,0.0,485.04570075239104,485.2650302371524,482.98273298161536,483.7348484800785
1.3200000000000007,-0.24896005075,1.13739434657,12.6730408682,0.206818701359,0.135357903213,0.0,-0.884692777259,1.82320141998,3.23705695372,0.152136275396,0.0647529798724,0.0,486.07645875620284,488.20798516029424,487.90979877772526,487.3203688635477
1.3800000000000008,-0.304748791992,1.25082047375,12.8689069673,0.217123135031,0.13943167966,0.0,-0.975288637334,1.95852110684,3.2912322921,0.162876477966,0.068458973598,0.0,441.7511418621458,442.05990567765303,440.40352969735073,441.3141705215666
1.4400000000000008,-0.366570598704,1.37337104811,13.0714597616,0.235777097436,0.145331815671,0.0,-1.08603110436,2.12840256777,3.45917932213,0.129007354273,0.0525428758991,0.0,479.6226987093006,478.4149107142705,479.4859220258316,476.9258145446302
1.5000000000000009,-0.434978432913,1.50603489364,13.2821480671,0.243740958397,0.172436199976,0.0,-1.19693152332,2.29423446288,3.56255189569,0.133121798963,0.104967613482,0.0,459.2363123100111,463.3800160168516,461.53145752271763,461.8709844787285
